Model,Endpoint
veo_3_1-components-4K,/v1/videos
veo_3_1-4K,/v1/videos
veo_3_1-fast-4K,/v1/videos
veo_3_1-fast-components-4K,/v1/videos
veo3.1-4k,/v1/videos
veo3.1-components-4k,/v1/videos
veo_3_1,/v1/videos
veo_3_1-components,/v1/videos
veo_3_1-fast,/v1/videos
veo3.1,/v1/videos
veo3.1-pro,/v1/videos
veo3.1-pro-4k,/v1/videos
veo3-pro-frames,/v1/videos
veo3.1-components,/v1/videos
veo3.1-fast-components,/v1/videos
veo3.1-fast,/v1/videos
veo3,/v1/videos
veo3-fast,/v1/videos
veo3-fast-frames,/v1/videos
veo3-frames,/v1/videos
